"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"601","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,1
"602","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,1
"603","CEchoices[3]",-1,0,0,-1,-1,-1,-1,-1,2.0006001800542,0.999799979995999,0.1,1
"604","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,1
"605","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,2
"606","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,2
"607","CEchoices[3]",-0.961099961654097,0.00051541468150582,0.0594789168669976,-1,-1,-1,-0.870160085627827,-0.870160085627827,13317.1880414724,0.999918921749728,0.1,2
"608","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,2
"609","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,3
"610","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,3
"611","CEchoices[3]",-0.782620483508259,0.00374248757983945,0.430203711453303,-1,-1,-1,-1,0.0687291862917491,13213.7951621133,0.999918612643623,0.1,3
"612","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,3
